                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8845,                 5.9622,                 1.6317,                0.00146,                 0.4375,                0.01872,                0.01217,                 1.8092,                 4.5555,                 1.4471,                      0,                      0,                      0
                      2,                 2.2319,                 5.7427,                 1.5782,                0.00146,                 0.4375,                0.01761,                 0.0111,                 1.7917,                 4.5639,                 1.4378,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 1.7301,                 5.1444,                 1.5745,                0.00146,                 0.4375,                 0.0189,                0.01171,                 1.7885,                 4.5974,                 1.4414,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 1.9513,                 5.4033,                 1.6281,                0.00146,                 0.4375,                0.01972,                0.01201,                 1.7849,                 4.6071,                 1.4418,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 2.1568,                 5.9874,                 1.8735,                0.00146,                 0.4375,                0.01445,                0.00855,                 1.7848,                 4.6318,                   1.44,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 2.1397,                 5.6557,                 1.7444,                0.00146,                 0.4375,                 0.0121,                0.00703,                  1.778,                 4.6396,                 1.4388,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 2.1049,                  6.281,                 1.8199,                0.00146,                 0.4375,                0.01094,                0.00639,                  1.788,                 4.6577,                 1.4447,             0.00010574,             0.00010574,             0.00010574
                      8,                 1.8655,                 5.2679,                 1.6625,                0.98605,                 0.4375,                0.58057,                0.32736,                 1.6205,                 2.8693,                 1.2302,              0.0001206,              0.0001206,              0.0001206
                      9,                 1.5971,                 3.1387,                 1.2143,                0.79498,                 0.3125,                0.36517,                0.13771,                 1.5055,                 4.3467,                 1.2953,             0.00013466,             0.00013466,             0.00013466
                     10,                 1.5854,                 3.3802,                 1.2264,                0.56386,                    0.5,                0.50334,                0.21841,                 1.6709,                 3.3092,                 1.3415,             0.00014792,             0.00014792,             0.00014792
                     11,                 1.6419,                 3.2114,                 1.2691,                0.91067,                0.63804,                0.85364,                0.48123,                 1.6232,                 2.0351,                 1.2963,              0.0001604,              0.0001604,              0.0001604
                     12,                 1.5684,                 3.0556,                 1.3172,                0.90061,                 0.5667,                0.86108,                0.49934,                 1.6071,                 1.9847,                 1.2897,             0.00017208,             0.00017208,             0.00017208
                     13,                   1.27,                 1.9482,                 1.2084,                0.01622,                 0.9375,                0.01633,                0.00917,                 1.2914,                 94.087,                   1.19,             0.00018298,             0.00018298,             0.00018298
                     14,                 1.7035,                 1.9949,                 1.3515,                0.01563,                 0.9375,                0.01593,                0.00913,                 1.3167,                 262.73,                 1.1678,             0.00019308,             0.00019308,             0.00019308
                     15,                 1.4173,                 1.5893,                 1.1794,                0.01555,                      1,                0.01573,                 0.0083,                 1.3052,                 322.44,                 1.1683,             0.00020238,             0.00020238,             0.00020238
                     16,                 1.2835,                 1.4675,                 1.1587,                0.00994,                 0.6875,                 0.0108,                0.00605,                 1.3994,                 324.25,                 1.2052,              0.0002109,              0.0002109,              0.0002109
                     17,                 1.3818,                 1.3975,                 1.1481,                 0.0113,                 0.9375,                0.01089,                0.00641,                 1.4341,                 283.11,                 1.2084,             0.00021862,             0.00021862,             0.00021862
                     18,                 1.1832,                 1.0527,                 1.0493,                 0.0113,                 0.9375,                0.01089,                0.00641,                 1.4341,                 283.11,                 1.2084,             0.00022556,             0.00022556,             0.00022556
                     19,                 1.2441,                 1.1169,                 1.0456,                0.01338,                 0.8125,                0.01376,                0.00789,                 1.4813,                 189.72,                 1.2314,              0.0002317,              0.0002317,              0.0002317
                     20,                 1.1758,                 1.1418,                 1.0006,                0.01338,                 0.8125,                0.01376,                0.00789,                 1.4813,                 189.72,                 1.2314,             0.00023704,             0.00023704,             0.00023704
                     21,                 1.1532,                 1.0665,                 1.1182,                0.05587,                 0.5625,                0.06031,                0.04041,                  1.441,                 24.092,                  1.217,              0.0002416,              0.0002416,              0.0002416
                     22,                 1.1059,                0.90396,                 1.0138,                0.05587,                 0.5625,                0.06031,                0.04041,                  1.441,                 24.092,                  1.217,             0.00024536,             0.00024536,             0.00024536
                     23,                 1.1805,                0.85805,                 1.0293,                0.06071,                 0.4375,                0.05659,                0.03572,                 1.2968,                 24.282,                 1.1487,             0.00024834,             0.00024834,             0.00024834
                     24,                 1.1288,                0.93621,                 1.0981,                0.06071,                 0.4375,                0.05659,                0.03572,                 1.2968,                 24.282,                 1.1487,             0.00025052,             0.00025052,             0.00025052
                     25,                 1.5217,                 1.2904,                 1.2377,                0.09606,                 0.4375,                0.15596,                0.09877,                 1.2911,                  12.57,                 1.1212,              0.0002519,              0.0002519,              0.0002519
                     26,                 1.1008,                0.84172,                  1.075,                0.09606,                 0.4375,                0.15596,                0.09877,                 1.2911,                  12.57,                 1.1212,              0.0002525,              0.0002525,              0.0002525
                     27,                 1.0631,                0.82966,                 1.0684,                      1,                0.98885,                  0.995,                0.63459,                 1.1981,                 1.3262,                 1.0782,              0.0002523,              0.0002523,              0.0002523
                     28,                  1.123,                0.83414,                 1.0386,                      1,                0.98885,                  0.995,                0.63459,                 1.1981,                 1.3262,                 1.0782,             0.00025132,             0.00025132,             0.00025132
                     29,                 1.0728,                0.98472,                 1.0263,                0.97865,                      1,                  0.995,                0.67178,                  1.153,                0.72606,                 1.0875,             0.00024954,             0.00024954,             0.00024954
                     30,                 1.3698,                 1.1246,                 1.1358,                0.97865,                      1,                  0.995,                0.67178,                  1.153,                0.72606,                 1.0875,             0.00024696,             0.00024696,             0.00024696
                     31,                 1.0863,                 0.8254,                 1.0529,                 0.9401,                0.98177,                0.98794,                0.67763,                 1.1221,                0.62199,                 1.0956,              0.0002436,              0.0002436,              0.0002436
                     32,                 1.2217,                 0.8839,                  1.124,                 0.9401,                0.98177,                0.98794,                0.67763,                 1.1221,                0.62199,                 1.0956,             0.00023944,             0.00023944,             0.00023944
                     33,                0.90352,                0.83411,                0.99452,                0.94076,                0.99293,                0.98029,                0.66671,                  1.022,                0.71492,                 1.0867,              0.0002345,              0.0002345,              0.0002345
                     34,                0.98117,                0.88423,                0.99142,                0.94076,                0.99293,                0.98029,                0.66671,                  1.022,                0.71492,                 1.0867,             0.00022876,             0.00022876,             0.00022876
                     35,                0.90766,                0.82517,                0.96859,                0.99862,                 0.9375,                0.93511,                0.64944,                 1.0038,                0.86479,                 1.0552,             0.00022222,             0.00022222,             0.00022222
                     36,                0.88461,                0.71359,                 1.0036,                0.99862,                 0.9375,                0.93511,                0.64944,                 1.0038,                0.86479,                 1.0552,              0.0002149,              0.0002149,              0.0002149
                     37,                0.93218,                0.70358,                0.94457,                0.88476,                      1,                0.97767,                0.65651,                 1.0042,                  1.032,                 1.0391,             0.00020678,             0.00020678,             0.00020678
                     38,                 1.1361,                0.86308,                 1.0256,                0.88476,                      1,                0.97767,                0.65651,                 1.0042,                  1.032,                 1.0391,             0.00019788,             0.00019788,             0.00019788
                     39,                 1.0173,                0.84296,                 1.0129,                0.88362,                      1,                0.98167,                0.66291,                0.99102,                0.89025,                 1.0286,             0.00018818,             0.00018818,             0.00018818
                     40,                0.94832,                0.78064,                0.99366,                0.88362,                      1,                0.98167,                0.66291,                0.99102,                0.89025,                 1.0286,             0.00017768,             0.00017768,             0.00017768
                     41,                0.88937,                0.77073,                0.92397,                0.97479,                 0.9375,                0.93516,                0.69964,                 0.9243,                0.76244,                 1.0048,              0.0001664,              0.0001664,              0.0001664
                     42,                0.70105,                 0.5343,                0.91032,                0.97479,                 0.9375,                0.93516,                0.69964,                 0.9243,                0.76244,                 1.0048,             0.00015432,             0.00015432,             0.00015432
                     43,                0.76878,                0.58037,                0.88212,                0.93796,                 0.9375,                0.93519,                0.71768,                0.88487,                0.73909,                0.99464,             0.00014146,             0.00014146,             0.00014146
                     44,                0.88695,                0.59066,                 1.0333,                0.93796,                 0.9375,                0.93519,                0.71768,                0.88487,                0.73909,                0.99464,              0.0001278,              0.0001278,              0.0001278
                     45,                 1.0191,                0.68809,                 1.0527,                0.93669,                0.92533,                0.93145,                0.75354,                0.79814,                 0.6525,                0.95053,             0.00011334,             0.00011334,             0.00011334
                     46,                0.88702,                0.64433,                  1.049,                0.93669,                0.92533,                0.93145,                0.75354,                0.79814,                 0.6525,                0.95053,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.77898,                0.53751,                0.93572,                0.84121,                0.99364,                0.97847,                0.79441,                0.72862,                 0.5719,                0.90701,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.83431,                0.52047,                 1.0001,                0.84121,                0.99364,                0.97847,                0.79441,                0.72862,                 0.5719,                0.90701,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.70074,                0.49432,                0.91799,                0.97298,                  0.875,                0.97594,                0.80611,                0.69061,                0.51474,                0.88528,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.62064,                0.49435,                0.85011,                0.97298,                  0.875,                0.97594,                0.80611,                0.69061,                0.51474,                0.88528,             2.9204e-05,             2.9204e-05,             2.9204e-05
